,name,time,tweet
0,Zamzam Auto Co.,2023-05-30 04:06:46+00:00,"#Zamzamauto.com#Volvo#TractorUnit#FH12(500)#4x2#2013#Green-Color# Sun Roof, Air - Condition, Heater, 2 diesel tank… https://t.co/GoOKyTXRgL"
1,G Eswari,2023-05-30 04:06:11+00:00,"Volvo EX90 Twin Motor Performance Electric Car - Price, Other Specifications &amp; Review
https://t.co/XYgopdOpZg… https://t.co/UaSCSaVdhI"
2,Zamzam Auto Co.,2023-05-30 04:06:04+00:00,"#Zamzamauto.com#Volvo#TractorUnit#FH12(500)#4x2#2013#Green-Color# Sun Roof, Air - Condition, Heater, 2 diesel tank… https://t.co/YOEjFtZEZb"
3,G Eswari,2023-05-30 04:05:52+00:00,"Volvo EX90 Twin Motor Electric Car - Price, Other Specifications &amp; Review
https://t.co/npDiKbEICQ… https://t.co/v8lMjYYz1f"
4,Zamzam Auto Co.,2023-05-30 04:05:26+00:00,"#Zamzamauto.com#Volvo#TractorUnit#FH12(500)#4x2#2013#Green-Color# Sun Roof, Air - Condition, Heater, 2 diesel tank… https://t.co/qjqbRyFcKd"
5,Commercial Truck Parts,2023-05-30 04:03:33+00:00,"ad eBay - Headlamp 2004 - 2015 Volvo Vnl, Non-Protruding Lenses, Left Side, Chrome Finish. https://t.co/LmpxHKrNdt"
6,Monica A. Bulanday,2023-05-30 04:01:23+00:00,Shop/Book @volvocars #affiliate #sponsored #ad #brandambassador #volvoXmonicabulanday #volvo… https://t.co/cJQzYewoM8
7,Bruno Drundridge,2023-05-30 03:49:32+00:00,"@TroopsinContact Not a Volvo, but it’s still pretty hard to beat a S124. I recently joined the wagon club but I’m a… https://t.co/7KTAiPL92F"
8,Filomena7eJWVl,2023-05-30 03:37:27+00:00,NEVOSA 20752917 Car Electric Power Window Control Switch For Volvo Truck FM12 FH12 Auto Truck Accessories BUIMCFE… https://t.co/OY2G8prqVV
9,Autocar Professional,2023-05-30 03:21:41+00:00,Volvo Trucks launches new safety systems to keep cyclists &amp; pedestrians safe – the Front Short Range Assist system… https://t.co/navDvSgT0i
10,Car and Truck Trim,2023-05-30 03:18:09+00:00,ad eBay - Gray Suede Central Console Gear Shift Frame Trim For Volvo V60 2020-2023 1PCS https://t.co/7KututQsKi https://t.co/Rc2NU6iElL
11,CoPilot for Car Shopping,2023-05-30 03:16:29+00:00,@TESLA_winston @PolestarCars @volvocars You can really see the styling similarities with Polestar in the new Volvo EVs!
12,Daylight,2023-05-30 03:14:35+00:00,"@DaronAmpwave Yeah, it did have an insane turnout of cars but was way overshadowed by all the bad shit that happene… https://t.co/HyRdMJH88j"
13,Brake Component Kits Car and Truck,2023-05-30 03:13:33+00:00,ad eBay - Disc Brake Upgrade Kit-Preferred - Single Axle Front fits 16-18 Volvo XC90 https://t.co/OvQcuHj0V3 https://t.co/9MvzkDxrhe
14,Travis,2023-05-30 03:13:07+00:00,"@Diego_Tamayo99 @danirish @coolbutstinky Go Volvo lol 

Most definitely. I've got hi/low gear box and diff lock too… https://t.co/MBKpkHN1ae"
15,colerobinson,2023-05-30 03:13:05+00:00,@s41ty Volvo has so much potential in the enthusiast market…
16,Exterior Mouldings and Trim,2023-05-30 03:08:09+00:00,ad eBay - 2PCS Side Steps Running Boards Fits For Volvo XC90 2015-2020 Side Nerf Bars https://t.co/LhZmiUdHF5 https://t.co/cFKBim4zUa
17,Air Intake and Fuel Sensors Car and Truck,2023-05-30 03:08:04+00:00,ad eBay - For Volvo C70 1999 00 01 02 03 2004 Fuel Injection Manifold Pressure Sensor https://t.co/kCTSLqtokC https://t.co/cOO7AH4PuH
18,Scott Galvin,2023-05-30 03:04:37+00:00,"@lolitataub @founding FAST, SAFE, the startup landscape is starting to sound like a Volvo ad"
19,GucciShades #FreeMelee,2023-05-30 03:04:37+00:00,@hayabusa1340rr @danirish @coolbutstinky People highly underestimate the towing capacity of most cars and overestim… https://t.co/rhkxKVDtLq
20,モータートピックス,2023-05-30 02:46:03+00:00,2021 Volvo S90 Recharge T8 Inscription - POV Test Drive (Binaural ... - YouTube https://t.co/1pdwn18FuH https://t.co/c1edouPzEJ
21,Nicholas,2023-05-30 02:44:38+00:00,@EvokeClassics I think it’s a Volvo Amazon
22,Gunnar.BauchIhK,2023-05-30 02:42:27+00:00,Idoing 16PIN Power Wiring Harness Android Radio optical fiber Adapter Cable for Volvo XC90 2004-2014 ALEZOAW… https://t.co/Cq3oqym88w
23,Monica A. Bulanday,2023-05-30 02:42:00+00:00,Shop/Book @volvocars #affiliate #sponsored #ad #brandambassador #volvoXmonicabulanday #volvo… https://t.co/g2gpbHDaMN
24,Lucy Vo Bumperautomobile,2023-05-30 02:41:46+00:00,"Volvo 830-834  bumper (1950–1958) by stainless steel
If you are interested bumpers, Please contact me:… https://t.co/ONZwJGI7o0"
25,Lucy Vo Bumperautomobile,2023-05-30 02:40:10+00:00,"Volvo PV 444 bumpers with standard horns (1950-1953)
https://t.co/Pnocr2poxE
If you are interested bumpers, Please… https://t.co/eG6XCdAoHG"
26,Steering and Suspension Leaf and Coil Springs,2023-05-30 02:40:09+00:00,ad eBay - Springs repartocorse Volvo S70 Type L Sedan 2.3T From 12/1996 https://t.co/oL95kayUdw https://t.co/vPo5IF2bnD
27,Lucy Vo Bumperautomobile,2023-05-30 02:38:52+00:00,"Volvo PV 444 (1947-1958) bumpers
https://t.co/MGhEKSSpCw
If you are interested bumpers, Please contact me:… https://t.co/0CgR661rV4"
28,Lucy Vo Bumperautomobile,2023-05-30 02:36:48+00:00,"Volvo PV 544 USA type (1958-1965) bumpers
https://t.co/SAlhhK8dYi
If you are interested bumpers, Please contact me:… https://t.co/aBWCaNIsff"
29,Lucy Vo Bumperautomobile,2023-05-30 02:35:08+00:00,"Volvo PV 544 Euro Version (1958-1965) bumpers
https://t.co/vyT2mzKjJ6
If you are interested bumpers, Please contact… https://t.co/yE25rpFw3C"
30,Lucy Vo Bumperautomobile,2023-05-30 02:33:59+00:00,"Volvo P1800 Jensen Cow Horn (1961-1963) bumpers
https://t.co/EpalMBJ2a6
If you are interested bumpers, Please conta… https://t.co/Sm7DiBRqU0"
31,Lucy Vo Bumperautomobile,2023-05-30 02:32:32+00:00,"Volvo P1800 S/ES bumper (1963–1973) by stainless steel
https://t.co/1lolmavgFD
If you are interested bumpers, Pleas… https://t.co/5npPvhUB6i"
32,Lucy Vo Bumperautomobile,2023-05-30 02:30:51+00:00,"Volvo Amazon Kombi bumper (1962-1969) by stainless steel
https://t.co/C0FMO8gCHS
If you are interested bumpers, Ple… https://t.co/G5XmIol7TY"
33,Rick,2023-05-30 02:29:14+00:00,@knitncamp @PaulFreitas33 @livingbyyyz A lot of them do. @HaltonPolice used to have a Volvo...in high school we called that the money maker.
34,Lucy Vo Bumperautomobile,2023-05-30 02:29:07+00:00,"Volvo Amazon Euro bumper (1956-1970) by stainless steel
https://t.co/Pk2WpMEXRw
If you are interested bumpers, Plea… https://t.co/BIMSMvFayw"
35,Exterior Mouldings and Trim,2023-05-30 02:26:10+00:00,ad eBay - Silver Titanium Front Windshield Both Side Decor Strip For Volvo V60 2015-2018 https://t.co/R2TqFgYGX2 https://t.co/6lst9T9Uo9
36,Lucy Vo Bumperautomobile,2023-05-30 02:25:13+00:00,"Volvo Amazon USA style bumper (1956-1970) by stainless steel.
https://t.co/o4T75uJ2Uj
If you are interested bumpers… https://t.co/nEmneDdk2Y"
37,BHH,2023-05-30 02:16:09+00:00,This should scare everyone. Add @Ford and @volvocars to the boycott and the first phase of the social credit score… https://t.co/d5XUuaWOp6
38,Carscoops,2023-05-30 02:12:56+00:00,The first official photo of the Volvo EX30 confirms the legitimacy of the earlier patent drawings https://t.co/xpBzSas0Ru
39,SarawakJobs,2023-05-30 02:10:28+00:00,"FOTROENDE AUTOMOBILE SDN BHD / VOLVO is hiring !!
Position : Automotive Service Advisor
Location : Kuching
Please s… https://t.co/q4Q8xA2i9W"
40,【BG】HikarinMorihika(HRMH) ALLONE公式アンバサダー,2023-05-30 02:09:48+00:00,"[FS22 PS5]
This is a farming game, but I don't farm. @farmingsim_jp
#FS22 #FarmingSimulator22 
#LIZARD #MAN #VOLVO https://t.co/sg4VhMGC4i"
41,Grandville Man,2023-05-30 02:03:30+00:00,"I only had a brief experience with Volvo:  I test drove a friend’s 144 for a week. It seemed like a good car, but d… https://t.co/4QhPACxwGn"
42,Dolly_Lemke46Yfhq,2023-05-30 02:00:26+00:00,"10PCS Ignition Keys 11039228 for Volvo Loader Haul Truck Heavy Equipment Laser Cut LE0OLFS

https://t.co/2RX1tyBCQJ https://t.co/0HQSMUCGsF"
43,Neerav Dembla,2023-05-30 01:50:36+00:00,@volvocarsin @VolvoGroup @volvocars @GeelyGroup @autocarindiamag @autocarpro @rushlane @ShobhaDubey20 handrest cove… https://t.co/xKB2Zd6vYu
44,Addie_Leannon28sAqWR,2023-05-30 01:50:23+00:00,For Volvo XC90 2015-2021 Stainless Steel Car Exhaust Muffler Decorative Cover Exhaust pipe Cover Stickers Car Acces… https://t.co/3AQdpBmXex
45,Addshop.net,2023-05-30 01:46:57+00:00,"Fudatong Gas Cap, Fuel Cap with Tether Replace Compatible with Volvo XC90 XC70 XC60 S60 S80 V60 V70 Accessories # 3… https://t.co/F0BAkbFMsL"
46,Tech Products Reviews,2023-05-30 01:46:55+00:00,"Fudatong Gas Cap, Fuel Cap with Tether Replace Compatible with Volvo XC90 XC70 XC60 S60 S80 V60 V70 Accessories # 3… https://t.co/WE09n5tuSq"
47,NoSleep,2023-05-30 01:44:50+00:00,@columbophile Sheesh..flying is better than driving..Volvo wouldn't even make it
48,Kofi Wiredu™,2023-05-30 01:40:19+00:00,I need that Volvo S90 in my life.
49,LUCIⒶNO ㄣ⃒,2023-05-30 01:39:05+00:00,shout out the volvo cutting up w/ me on
50,Nancy Liu,2023-05-30 01:35:36+00:00,橡胶支座生产车间 Rubber seat/rubber mount/rubber support /rubber bracket for MAN Volvo Mercedes-Benz HOWO DONGFENG FAW AUMA… https://t.co/6pyVnuQSxb
51,Eddie V,2023-05-30 01:35:01+00:00,"@VolvoCarUSA here is my car getting some dope tint https://t.co/y2Hty8vJ8C
#volvo #tint"
52,Steering and Suspension Leaf and Coil Springs,2023-05-30 01:31:03+00:00,ad eBay - Springs repartocorse Volvo S40 II Sedan 2.0D (2WD) From 01/2004 A https://t.co/srhSChwWCy https://t.co/mdir67zDKC
53,Nancy Liu,2023-05-30 01:20:49+00:00,"SINOTRUK HOWO Parts Az9631521174 Lower Control Arm for Sale Under The Thrust Rod Assembly
#truckparts #Sinotruk… https://t.co/GzAvPqKnTz"
54,Anonomouse - Anonomouse1981,2023-05-30 01:17:32+00:00,@CAgovernor @grantshapps @GavinNewsom California to start challenging local built Lada with English Citrogen 45.1;… https://t.co/w6lIfOD5wa
55,Anonomouse - Anonomouse1981,2023-05-30 01:15:00+00:00,"California to start challenging local built Lada with English Citrogen 45.1; ""With a top speed of 72, it's faster t… https://t.co/02ooPKLLEk"
56,CHOICE,2023-05-30 01:12:14+00:00,"@sj26 You can of course still complain to Volvo about the poor performance of the service, and if you're unsatisfie… https://t.co/6CghPGxp7I"
57,Lyric_StiedemannAEHz,2023-05-30 01:11:44+00:00,Xinyuexin Replacement Remote Silicone Car Key Shell Case Fob for Volvo XC90 C70 S60 D5 V50 S40 C30  No Logo  5 Butt… https://t.co/2p7HUSVYwS
58,CV Joints Boots and Parts Car and Truck,2023-05-30 01:07:03+00:00,ad eBay - CV Axle Shaft Front Right fit for Volvo S80 2.5T without Viscous Clutch 04-06 https://t.co/bY4iRp93eZ https://t.co/hB3oH28v4i
59,Ian Imhof,2023-05-30 01:00:56+00:00,"@danny_mx @colinanders22 @ArcadeBumstead @coolbutstinky Jesus fuck dude, take the L and walk. Grew up on farms, gre… https://t.co/EjmVpbhGA6"
60,🏳️‍🌈 Loose Unit,2023-05-30 00:57:32+00:00,"@darthlux Also, WTF is wrong with a Clio anyway?

I know someone in love with 1980's Volvo's. That's cool in its own way😂🤣."
61,M.,2023-05-30 00:49:24+00:00,@s41ty It probably wouldn't have cause Volvo only makes like 5 cars a day. (I'm joking...but I'm not)
62,Commercial Truck Parts,2023-05-30 00:48:06+00:00,"ad eBay - Headlamp 2004 - 2015 Volvo Vnl Non-Protruding Lenses, Right Side Chrome Finish. https://t.co/23NueESPoB"
63,David Rios,2023-05-30 00:44:29+00:00,@SMHatLibs Yup.  I was driving for quite some time my dad’s old Volvo
64,Dancing With The Dead,2023-05-30 00:43:17+00:00,@DrCPorridge It's like a pair of rebellious teens attempting to annoy their mum and get her to turn the Volvo aroun… https://t.co/8MSfCsoY9m
65,Bigtexgaming,2023-05-30 00:38:29+00:00,"Hey Guys, I am currently live on https://t.co/VpbbGKDsjt. 

Taking the Volvo out to remember the fallen this memori… https://t.co/o4bEcJVdqc"
66,MobileMechanic Tampa,2023-05-30 00:36:04+00:00,The 2023 Volvo S60 Recharge Black Edition Is A Reworked Electrified Luxury Sedan https://t.co/FPjhD1E3ik https://t.co/DH8vk2jo7s
67,MobileMechanic SanDiego,2023-05-30 00:36:03+00:00,The 2023 Volvo S60 Recharge Black Edition Is A Reworked Electrified Luxury Sedan https://t.co/BvnAoqbeQQ https://t.co/mSjizQs8WB
68,Katja Presnal,2023-05-30 00:31:20+00:00,Software update = Volvo shuts down https://t.co/Ktuoen6PYV
69,Nelle_FlatleyTkzH,2023-05-30 00:23:51+00:00,EKIY X7 Android 10 Car Radio Stereo DVD Player For Volvo XC60 2009-2017 Navigaiton GPS Multimedia BT Autoradio Carp… https://t.co/raYRePOlm3
70,Corine29TiDrA,2023-05-30 00:19:41+00:00,Car Steering Wheel Cover Non-Slip Hand Sewing Black Suede Leather Braid For Volvo XC90 S90 XC60 S60 V90CC 2015-2022… https://t.co/c7AK3abXaL
71,Samuel Cochran.tf,2023-05-30 00:19:11+00:00,"@choiceaustralia Thanks! What about a vehicle, with mobile connectivity? We bought a Volvo and it has provided conn… https://t.co/hYhaF01cDh"
72,AHH 2,2023-05-30 00:14:34+00:00,"2023 Volvo EX30 leaked before June 7 debut - EV SUV with 51 &amp; 69 kWh batteries; 480 km range; RWD, AWD -… https://t.co/JFphzOziB0"
73,John Gordon,2023-05-30 00:08:10+00:00,@AGuyNicholson @GarryMcKay5 @GolfNorfolk The magic Volvo can appear in the most unexpected places. Ask… https://t.co/0E7aRUGqcT
74,Electric Vehicle Parts,2023-05-30 00:07:35+00:00,ad eBay - Volvo EV Charger S60 S90 XC60 XC90 XC40 Dual Voltage Charging station 12A 40 Amp https://t.co/hP703Btnpe https://t.co/beeDTiqyQQ
75,Michael Feher (same @ on The Pliocene Pachyderm),2023-05-30 00:05:34+00:00,@koffee_mark @Pocket I’m not the one talking to their Volvo.
76,Peregrine Dreams,2023-05-30 00:04:35+00:00,@dani_elle831 @kylaschwaberow Psssh. I’d take the money and put it toward an Ariel Atom and a Volvo XC90. Not ashamed 😂
77,Elda16aERQ,2023-05-30 00:03:06+00:00,Applicable to Volvo XC40 atmosphere light upgrading led refitting atmosphere light colorful luxury version tool 92N… https://t.co/OLhqmmhLdU
78,Lord Brett S.,2023-05-30 00:00:34+00:00,@k9cbw @derverla @thecarfactoids @neilmbriscoe @t2stu @DarraghMcKenna @TopOfTheTower @StvCr @MotoringArchive… https://t.co/SAmHgkOaa8
79,Dutchy~,2023-05-29 23:59:28+00:00,I love the new Volvo https://t.co/zzssG67DRE
80,Jensen_RyanXIZc,2023-05-29 23:54:50+00:00,Zinc Alloy + Silicone Car Key Case Cover for Volvo S60 S90 XC40 XC60 XC90 V60 V90 Smart Remote Key Full Cover Prote… https://t.co/3mpy5WlveP
81,The Bus Enthusiast,2023-05-29 23:52:11+00:00,@MarcJF241 @megabreadvan @Ste_Jones75 Yes it will be as will the ALX400 Volvo B7TL in Mainline Heritage Livery that… https://t.co/srwZPP7mNj
82,ً,2023-05-29 23:48:16+00:00,"My mommy just asked me 

“Marcell, what Volvo did you have?” 

The S60 😫"
83,Kompananzi,2023-05-29 23:44:45+00:00,@444Cin444 Can be the NASA Ford Volkswagen Volvo etc have been building them for them for ages🤣🤣
84,Chazz Griffith,2023-05-29 23:40:40+00:00,@TroopsinContact Saw a nice ass Volvo station wagon the other day and thought of you lol. A college kid owned it! T… https://t.co/aEzagVgviy
85,dorkasaurus,2023-05-29 23:39:34+00:00,@VolvoCarUSA  I took 4 hours off work to get this serviced. After going back and forth I got a ride home from a fri… https://t.co/TXO532m1fW
86,TREVOR,2023-05-29 23:39:14+00:00,"This is getting beyond a joke.
It seems Standard Procedure now to buy a truck and garage it the local truck stop.… https://t.co/uEFgSFz67F"
87,Commercial Truck Parts,2023-05-29 23:38:08+00:00,"ad eBay - Headlamp 2004 - 2015 Volvo Vnl Non-Protruding Lenses, Right Side Chrome Finish. https://t.co/Pif1ZaqoGb"
88,D Lambrozza,2023-05-29 23:32:22+00:00,@TommyThornton @StanphylCap @MercedesBenzUSA @AudiOfficial Seeing a few Volvo and BMW electrics on the NY side of t… https://t.co/nS8MR33o0Z
89,Wesley Miller,2023-05-29 23:25:20+00:00,"@RaslDasl Even as I sit this round out, continuing to drive my ICE Volvo that’s paid for, I’m glad this generation… https://t.co/VOfcTnmUYL"
90,frankietumbledon,2023-05-29 23:24:29+00:00,@realderekwhite @ChaseTheTruth @InternetH0F Oh no whatever will Volvo do without your purchase
91,aloha 🌺,2023-05-29 23:05:19+00:00,@RobSean0x @EZebroni @Tesla @elonmusk Volvo uses exceptional paint quality
92,Fred Cilurso,2023-05-29 23:04:04+00:00,@softtail65 Going way back for this one.. 59 Volvo-Vernon Green &amp; The Medallions
93,Bill.Stokes33uIvh,2023-05-29 23:02:02+00:00,Car Trunk Mats For Volvo xc90 2010 2011 2012 2013 2014 2015 2016 2017 Anti-Dirty Protector Tray Cargo Liner Accesso… https://t.co/q0BWD1L5CR
94,Brake Component Kits Car and Truck,2023-05-29 23:01:34+00:00,ad eBay - -Disc Brake Upgrade Kit-Select Pack - Single Axle Rear fits 2008 Volvo S80 https://t.co/qvkEJfyznP https://t.co/8KXszXHjEq
95,Gemma 🇪🇺🇬🇧🇫🇷🇪🇸🇮🇹🇩🇪🇹🇷🇨🇳🇿🇦,2023-05-29 22:59:28+00:00,"@BranwenOShea The egg. Has a roof, headlights, a door, designed to protect those inside it. The old-time Volvo of cartoon cars."
96,Maciej K,2023-05-29 22:57:24+00:00,@SCSsoftware new MAN tested but I prefer my Volvo 😋🚨🚨🚛🚛🚨🚨 #EuroTruckSimulator2 #volvofh #gaming #VirtualTrucker https://t.co/wT8FRmdAkQ
97,Wesley Miller,2023-05-29 22:56:09+00:00,"For a month, I’ve thought this slight smell the Volvo had when I got home was something electronic. Which would be… https://t.co/FLGwPjm0b8"
98,Hermann.EffertzTmgW,2023-05-29 22:55:49+00:00,134734 6 Pins Throttle Position TPS Sensor 134134 For Volvo 420126 420127 400467 400467 400468 133850 402502 TTMTOC… https://t.co/KQkmEr29ZD
